team,off_factor,def_factor,raw_off,raw_def,gax_off,gax_def,games
ANA,1.029258873765532,0.966368726740121,1.0585177475310636,0.932737453480242,5.915251775823492,6.634400984680539,28
BOS,1.0197418466825698,0.9042310809653329,1.0394836933651397,0.8084621619306659,3.5704910043446034,22.033212906228414,30
BUF,0.9944656362198669,1.0242295068833347,0.988931272439734,1.0484590137666694,-1.0297206326909105,-4.806804429701046,29
CAR,0.9358169602705516,0.9734483274113437,0.8716339205411032,0.9468966548226875,-12.95981572788071,4.093946449382827,26
CBJ,0.9318823962614475,0.9986075193062888,0.8637647925228952,0.9972150386125775,-13.248696320038391,0.2569319933234624,27
CGY,0.8565099186380412,0.9919915184836468,0.7130198372760824,0.9839830369672936,-30.186414289003693,1.7091566167822805,30
CHI,1.03075234414601,0.9321270041453724,1.0615046882920198,0.8642540082907448,4.9829296577337345,13.350715396861702,28
COL,1.0021422729085971,0.8721415997732541,1.0042845458171943,0.7442831995465082,0.4735556149791904,21.64519962077057,28
DAL,1.0454614733815812,0.9167558762855224,1.0909229467631625,0.8335117525710448,8.667877498979564,15.779707372232153,29
DET,0.9056036695208939,1.026929208607346,0.8112073390417878,1.0538584172146919,-21.178472284891782,-5.059487325011574,29
EDM,0.9511283242061803,1.0026166122810691,0.9022566484123605,1.0052332245621385,-9.424892133616268,-0.5466279521987332,29
FLA,0.9397456483261355,1.008194896626894,0.8794912966522711,1.0163897932537882,-11.783798802050285,-1.4029184694139616,27
LAK,0.8934246784882927,0.9594335282017084,0.7868493569765854,0.9188670564034168,-21.400412479908567,7.416924150908812,28
MIN,0.9501603105264089,0.889267405282388,0.900320621052818,0.778534810564776,-9.30009558347335,21.903734239117114,28
MTL,1.0299640398207863,1.0324196077298715,1.0599280796415724,1.064839215459743,4.975498913324131,-5.9673263557553895,27
NJD,0.9617617204772513,0.9662605955844823,0.9235234409545025,0.9325211911689647,-7.535668900777935,6.4401903601072945,29
NSH,0.8965802493972308,1.06436568040973,0.7931604987944617,1.1287313608194598,-19.558415495973122,-11.176860853009416,27
NYI,0.9271593976604844,0.8950412088009385,0.8543187953209688,0.7900824176018769,-14.494474972969996,22.318022181741114,28
NYR,0.8858192603775857,0.8943879779682289,0.7716385207551715,0.7887759559364578,-23.083600548692857,21.69075697652883,30
OTT,0.9968733141217836,1.0584020974790456,0.9937466282435673,1.1168041949580911,-0.5663450240567727,-9.831261715911253,28
PHI,1.0265071890626736,0.9569411461610493,1.053014378125347,0.9138822923220985,4.531081560135419,7.91555707525859,28
PIT,0.9740439233287915,0.945102410034266,0.948087846657583,0.890204820068532,-5.0374215051269005,10.113632898198944,27
SEA,0.9317682761767598,0.9266567797297025,0.8635365523535197,0.8533135594594051,-10.271857135457907,12.2050530698003,25
SJS,1.0101284447645975,0.9398650270811616,1.020256889529195,0.8797300541623232,1.786922564638445,13.53452071075094,30
STL,0.9461211660977633,1.0371901085884216,0.8922423321955265,1.0743802171768433,-9.661739992929128,-6.64615816153065,29
TBL,0.9575185650784503,0.9395641544504122,0.9150371301569007,0.8791283089008244,-8.356664482639928,10.449269384832945,28
TOR,1.050028334825226,0.9636998161712866,1.1000566696504521,0.9273996323425732,8.640812677235374,7.750096234058333,28
UTA,0.987640838406133,1.0102024469403563,0.9752816768122661,1.0204048938807129,-2.2303427740284434,-1.7597236864219212,29
VAN,0.9638183173621844,0.9551510097619968,0.9276366347243689,0.9103020195239938,-7.098756122367973,9.952187113474636,29
VGK,0.9228917470372555,0.9751296250505321,0.8457834940745111,0.9502592501010643,-15.498532538767819,4.5016183645184356,28
WPG,0.980282348768238,0.9447459773606881,0.9605646975364761,0.8894919547213761,-3.5306690122601196,10.311692769608996,27
WSH,0.9505009691375764,0.8967363829335249,0.9010019382751528,0.7934727658670498,-10.438174952059185,19.52120252425476,29
